,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
R-merge,0.1248 (0.3659),0.1216 (0.3531),0.1189 (0.347),0.1217 (0.3508),0.1186 (0.3471),0.12 (0.346),0.1188 (0.3403),0.1189 (0.3471),0.118 (0.3442),0.1152 (0.3347),0.116 (0.3385),0.1164 (0.3452),0.1146 (0.3339),0.1135 (0.3335),0.1146 (0.3256),0.1142 (0.3271),0.1099 (0.3182),0.1134 (0.3227),0.1141 (0.3285),0.1154 (0.3338),0.114 (0.3405),0.1149 (0.3293),0.1136 (0.3315),0.1158 (0.3325),0.1164 (0.3442),0.1169 (0.336),0.1161 (0.3377),0.1183 (0.3399),0.1194 (0.3393),0.1195 (0.3343),0.1194 (0.34),0.1202 (0.3479),0.1201 (0.352),0.1203 (0.3612),0.1185 (0.3507),0.1199 (0.3654)
R-meas,0.1552 (0.4242),0.1513 (0.4099),0.1475 (0.4022),0.1511 (0.4069),0.1466 (0.402),0.1488 (0.4007),0.1467 (0.3942),0.1467 (0.402),0.1459 (0.3986),0.1422 (0.3879),0.1433 (0.3917),0.1441 (0.3998),0.1415 (0.387),0.1404 (0.3862),0.1414 (0.3771),0.1412 (0.3789),0.1357 (0.3683),0.1404 (0.3733),0.1413 (0.3802),0.143 (0.3862),0.1413 (0.3944),0.1423 (0.3813),0.141 (0.3839),0.1438 (0.3853),0.1445 (0.3999),0.1451 (0.3894),0.1445 (0.3912),0.1473 (0.3939),0.1484 (0.3935),0.1483 (0.3875),0.1486 (0.3942),0.1493 (0.4031),0.1491 (0.4081),0.1494 (0.4186),0.1472 (0.4066),0.1488 (0.4241)
R-pim,0.09054 (0.2132),0.08831 (0.2068),0.08569 (0.2022),0.08778 (0.2048),0.08468 (0.2015),0.08624 (0.2008),0.08441 (0.1978),0.08437 (0.2014),0.0842 (0.1996),0.08185 (0.1948),0.08259 (0.196),0.08331 (0.2005),0.0815 (0.1943),0.08114 (0.1936),0.08145 (0.1891),0.08144 (0.19),0.07821 (0.1843),0.08122 (0.1865),0.08177 (0.1902),0.0828 (0.1931),0.08198 (0.1976),0.08228 (0.1911),0.08192 (0.1925),0.08379 (0.1935),0.08408 (0.2019),0.08437 (0.1954),0.08443 (0.1961),0.08609 (0.1979),0.08658 (0.1979),0.08622 (0.1948),0.08677 (0.1984),0.08699 (0.2026),0.08668 (0.2054),0.08695 (0.2105),0.0857 (0.2044),0.08652 (0.2138)
CC1/2,0.954 (0.808),0.953 (0.78),0.958 (0.837),0.955 (0.766),0.963 (0.85),0.957 (0.849),0.959 (0.857),0.962 (0.85),0.96 (0.856),0.965 (0.859),0.967 (0.867),0.961 (0.842),0.963 (0.866),0.968 (0.854),0.966 (0.851),0.961 (0.862),0.971 (0.867),0.958 (0.856),0.957 (0.85),0.96 (0.849),0.962 (0.835),0.963 (0.856),0.963 (0.86),0.957 (0.845),0.956 (0.642),0.955 (0.844),0.954 (0.854),0.955 (0.847),0.949 (0.85),0.948 (0.864),0.953 (0.854),0.953 (0.84),0.959 (0.835),0.959 (0.83),0.955 (0.854),0.953 (0.75)
CC*,0.988 (0.945),0.988 (0.936),0.989 (0.955),0.988 (0.931),0.991 (0.959),0.989 (0.958),0.989 (0.961),0.99 (0.958),0.99 (0.96),0.991 (0.961),0.992 (0.964),0.99 (0.956),0.991 (0.963),0.992 (0.96),0.991 (0.959),0.99 (0.962),0.993 (0.964),0.989 (0.96),0.989 (0.959),0.99 (0.958),0.99 (0.954),0.991 (0.961),0.99 (0.962),0.989 (0.957),0.989 (0.884),0.988 (0.957),0.988 (0.96),0.988 (0.958),0.987 (0.959),0.987 (0.963),0.988 (0.96),0.988 (0.956),0.989 (0.954),0.989 (0.952),0.988 (0.96),0.988 (0.926)
Reflections used in refinement,287473 (10235),288121 (10279),288558 (10263),288749 (10237),289109 (10328),289470 (10298),289960 (10316),289963 (10278),290024 (10343),290164 (10343),289992 (10347),289793 (10359),289855 (10349),289523 (10354),289341 (9919),288991 (9899),288814 (10324),288428 (10285),287935 (10247),287374 (10229),287049 (10172),286555 (10155),286229 (10143),285665 (10124),285380 (10124),285042 (10111),284652 (10079),284329 (10089),284637 (10124),284961 (10131),285088 (10119),285606 (10160),286063 (10163),286312 (10183),286899 (10209),287288 (10218)
Reflections used for R-free,3811 (136),3819 (142),3833 (137),3824 (139),3846 (144),3822 (124),3777 (132),3821 (123),3840 (142),3812 (134),3832 (134),3825 (154),3839 (143),3807 (121),3855 (149),3866 (123),3821 (150),3805 (131),3820 (142),3795 (121),3781 (140),3746 (121),3770 (136),3806 (128),3802 (148),3770 (143),3766 (132),3794 (133),3758 (116),3814 (146),3732 (111),3813 (144),3816 (148),3784 (122),3836 (135),3792 (133)
R-work,0.1795 (0.2843),0.1782 (0.2887),0.1789 (0.3007),0.1787 (0.2951),0.1665 (0.2870),0.1750 (0.2988),0.1726 (0.2960),0.1733 (0.2955),0.1751 (0.3050),0.1677 (0.2906),0.1743 (0.2916),0.1634 (0.2954),0.1615 (0.2863),0.1712 (0.2948),0.1599 (0.2687),0.1570 (0.2594),0.1619 (0.2686),0.1589 (0.2752),0.1596 (0.2642),0.1584 (0.2671),0.1656 (0.2631),0.1701 (0.2729),0.1746 (0.2725),0.1718 (0.2792),0.1653 (0.2636),0.1654 (0.2792),0.1755 (0.2838),0.1662 (0.2705),0.1653 (0.2698),0.1661 (0.2532),0.1722 (0.2797),0.1701 (0.2671),0.1792 (0.2886),0.1761 (0.2946),0.1782 (0.2948),0.1786 (0.2960)
R-free,0.1949 (0.2975),0.1953 (0.3071),0.2002 (0.3205),0.1936 (0.2606),0.1828 (0.2847),0.1854 (0.3104),0.1855 (0.2796),0.1895 (0.2727),0.1870 (0.3209),0.1882 (0.2921),0.1889 (0.2877),0.1858 (0.2963),0.1806 (0.3159),0.1830 (0.3374),0.1813 (0.2713),0.1739 (0.2754),0.1750 (0.2882),0.1811 (0.3245),0.1769 (0.3015),0.1733 (0.2555),0.1868 (0.2341),0.1916 (0.3169),0.1894 (0.2271),0.1908 (0.3013),0.1840 (0.2793),0.1845 (0.3150),0.1923 (0.2562),0.1830 (0.3130),0.1836 (0.2786),0.1854 (0.2556),0.1862 (0.2823),0.1883 (0.2892),0.1931 (0.3056),0.1922 (0.2790),0.1952 (0.2696),0.1903 (0.3236)
CC(work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
