                                                   Pseudohelix_1                     Pseudohelix_2                     Pseudohelix_3                     Pseudohelix_4                     Pseudohelix_5                     Pseudohelix_6                     Pseudohelix_7                     Pseudohelix_8                     Pseudohelix_9                    Pseudohelix_10                    Pseudohelix_11                    Pseudohelix_12                    Pseudohelix_13                    Pseudohelix_14                    Pseudohelix_15                    Pseudohelix_16                    Pseudohelix_17                    Pseudohelix_18                    Pseudohelix_19                    Pseudohelix_20                    Pseudohelix_21                    Pseudohelix_22                    Pseudohelix_23                    Pseudohelix_24                    Pseudohelix_25                    Pseudohelix_26                    Pseudohelix_27                    Pseudohelix_28                    Pseudohelix_29                    Pseudohelix_30                    Pseudohelix_31                    Pseudohelix_32                    Pseudohelix_33                    Pseudohelix_34                    Pseudohelix_35                    Pseudohelix_36
                    Wavelength                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1                                 1
              Resolution range        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        28.79  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)        32.04  - 1.1 (1.11  - 1.1)
                       R-merge                   0.2288 (0.3258)                   0.2158 (0.2977)                   0.2134 (0.3011)                   0.2119 (0.2951)                   0.2066 (0.2943)                     0.206 (0.295)                   0.2007 (0.2916)                   0.1965 (0.2899)                   0.1987 (0.2897)                   0.1998 (0.2902)                    0.1975 (0.288)                      0.2 (0.2915)                   0.1938 (0.2841)                    0.196 (0.2869)                    0.195 (0.2812)                   0.1929 (0.2842)                   0.1917 (0.2842)                    0.194 (0.2878)                   0.1959 (0.2914)                   0.1988 (0.2935)                   0.1996 (0.2928)                   0.2006 (0.2916)                   0.2015 (0.2951)                   0.2018 (0.2893)                   0.2056 (0.2953)                   0.2117 (0.3006)                   0.2103 (0.2988)                   0.2176 (0.3063)                   0.2152 (0.3128)                   0.2196 (0.3077)                   0.2195 (0.3111)                   0.2184 (0.3143)                   0.2142 (0.3112)                   0.2166 (0.3157)                   0.2164 (0.3238)                   0.2146 (0.3294)
                        R-meas                   0.2705 (0.3824)                   0.2547 (0.3492)                   0.2516 (0.3526)                    0.2499 (0.346)                    0.2436 (0.345)                    0.2429 (0.346)                    0.2373 (0.342)                   0.2322 (0.3404)                    0.235 (0.3401)                   0.2358 (0.3408)                   0.2332 (0.3381)                   0.2363 (0.3428)                    0.2288 (0.334)                    0.231 (0.3366)                   0.2301 (0.3298)                   0.2276 (0.3337)                   0.2261 (0.3337)                   0.2289 (0.3379)                    0.2313 (0.342)                   0.2346 (0.3445)                   0.2354 (0.3437)                   0.2367 (0.3423)                    0.238 (0.3464)                     0.2379 (0.34)                    0.2427 (0.347)                   0.2497 (0.3532)                   0.2484 (0.3509)                   0.2565 (0.3595)                   0.2538 (0.3675)                    0.259 (0.3609)                   0.2588 (0.3647)                   0.2574 (0.3685)                   0.2526 (0.3647)                   0.2554 (0.3699)                   0.2552 (0.3791)                   0.2531 (0.3856)
                         R-pim                   0.1428 (0.1988)                   0.1339 (0.1812)                   0.1321 (0.1824)                   0.1312 (0.1793)                    0.128 (0.1788)                   0.1276 (0.1796)                   0.1254 (0.1774)                   0.1225 (0.1771)                   0.1244 (0.1769)                   0.1241 (0.1773)                   0.1229 (0.1757)                   0.1247 (0.1789)                   0.1205 (0.1742)                   0.1209 (0.1742)                   0.1211 (0.1712)                   0.1197 (0.1737)                   0.1188 (0.1735)                   0.1204 (0.1757)                   0.1219 (0.1777)                   0.1235 (0.1791)                   0.1237 (0.1788)                   0.1245 (0.1781)                     0.1254 (0.18)                   0.1249 (0.1773)                   0.1277 (0.1808)                   0.1313 (0.1841)                   0.1308 (0.1827)                   0.1346 (0.1868)                   0.1334 (0.1914)                    0.136 (0.1875)                   0.1358 (0.1891)                   0.1348 (0.1912)                   0.1326 (0.1889)                   0.1341 (0.1915)                   0.1339 (0.1959)                   0.1329 (0.1991)
                         CC1/2                     0.919 (0.833)                     0.927 (0.873)                     0.931 (0.867)                     0.932 (0.878)                     0.935 (0.871)                     0.936 (0.868)                      0.936 (0.88)                     0.936 (0.882)                     0.937 (0.882)                      0.94 (0.872)                     0.939 (0.886)                     0.936 (0.866)                       0.94 (0.88)                     0.938 (0.875)                     0.939 (0.881)                     0.942 (0.879)                     0.944 (0.883)                     0.942 (0.858)                     0.939 (0.862)                     0.941 (0.873)                     0.938 (0.872)                     0.935 (0.878)                     0.932 (0.876)                      0.94 (0.883)                     0.935 (0.877)                      0.93 (0.858)                      0.93 (0.866)                     0.921 (0.866)                      0.927 (0.85)                     0.925 (0.869)                     0.925 (0.855)                     0.926 (0.853)                      0.93 (0.857)                     0.925 (0.858)                     0.931 (0.859)                      0.93 (0.851)
                           CC*                     0.979 (0.953)                     0.981 (0.966)                     0.982 (0.964)                     0.982 (0.967)                     0.983 (0.965)                     0.983 (0.964)                     0.983 (0.968)                     0.983 (0.968)                     0.984 (0.968)                     0.984 (0.965)                     0.984 (0.969)                     0.983 (0.963)                     0.984 (0.968)                     0.984 (0.966)                     0.984 (0.968)                     0.985 (0.967)                     0.985 (0.968)                     0.985 (0.961)                     0.984 (0.962)                     0.985 (0.965)                     0.984 (0.965)                     0.983 (0.967)                     0.982 (0.966)                     0.984 (0.969)                     0.983 (0.967)                     0.982 (0.961)                     0.982 (0.963)                     0.979 (0.963)                     0.981 (0.959)                      0.98 (0.964)                       0.98 (0.96)                     0.981 (0.959)                     0.982 (0.961)                      0.98 (0.961)                     0.982 (0.961)                     0.982 (0.959)
Reflections used in refinement                    287332 (10148)                    287934 (10171)                    288265 (10190)                    288383 (10188)                    288597 (10195)                    288842 (10206)                    288629 (10211)                    288725 (10215)                    288329 (10188)                    288697 (10206)                    288638 (10200)                    288606 (10211)                    288676 (10209)                    287814 (10160)                    288476 (10173)                    288305 (10166)                    288158 (10138)                     287961 (9780)                    287712 (10135)                    287262 (10145)                    287141 (10132)                    286685 (10115)                    286367 (10096)                     286281 (9727)                    285897 (10080)                    285675 (10067)                    285575 (10050)                    285611 (10034)                    285460 (10034)                    285438 (10028)                    285724 (10067)                    285976 (10056)                    286345 (10079)                    286584 (10099)                    286893 (10110)                    287263 (10129)
   Reflections used for R-free                        3810 (150)                        3841 (114)                        3832 (134)                        3848 (132)                        3810 (119)                        3827 (125)                        3826 (126)                        3828 (113)                        3834 (146)                        3849 (130)                        3831 (141)                        3847 (134)                        3813 (114)                        3812 (132)                        3828 (136)                        3844 (117)                        3845 (138)                        3871 (145)                        3805 (139)                        3840 (137)                        3838 (133)                        3817 (148)                        3798 (132)                        3854 (140)                        3805 (143)                        3815 (122)                        3824 (135)                        3803 (133)                        3788 (124)                        3806 (117)                        3755 (133)                        3781 (138)                        3834 (131)                        3796 (136)                        3804 (130)                        3829 (133)
                        R-work                   0.1788 (0.2041)                   0.1595 (0.1921)                   0.1601 (0.1854)                   0.1588 (0.1872)                   0.1555 (0.1828)                   0.1637 (0.1906)                   0.1510 (0.1860)                   0.1524 (0.1859)                   0.1515 (0.1844)                   0.1523 (0.1854)                   0.1530 (0.1848)                   0.1539 (0.1873)                   0.1590 (0.1934)                   0.1533 (0.1832)                   0.1540 (0.1805)                   0.1525 (0.1738)                   0.1497 (0.1730)                   0.1505 (0.1841)                   0.1524 (0.1813)                   0.1517 (0.1843)                   0.1614 (0.1931)                   0.1523 (0.1770)                   0.1625 (0.1972)                   0.1532 (0.1832)                   0.1561 (0.1887)                   0.1642 (0.1873)                   0.1655 (0.1892)                   0.1696 (0.1957)                   0.1716 (0.2032)                   0.1652 (0.1954)                   0.1687 (0.2080)                   0.1627 (0.1910)                   0.1649 (0.1961)                   0.1607 (0.2055)                   0.1704 (0.2050)                   0.1608 (0.2084)
                        R-free                   0.1939 (0.2018)                   0.1746 (0.2270)                   0.1755 (0.1973)                   0.1762 (0.2026)                   0.1672 (0.1589)                   0.1756 (0.1905)                   0.1697 (0.1891)                   0.1686 (0.2009)                   0.1722 (0.1879)                   0.1636 (0.2107)                   0.1695 (0.1879)                   0.1718 (0.2020)                   0.1701 (0.1844)                   0.1664 (0.2008)                   0.1715 (0.1800)                   0.1675 (0.1733)                   0.1681 (0.1706)                   0.1620 (0.2005)                   0.1661 (0.2157)                   0.1650 (0.1820)                   0.1788 (0.1646)                   0.1712 (0.2020)                   0.1753 (0.1962)                   0.1674 (0.2010)                   0.1731 (0.2093)                   0.1775 (0.1856)                   0.1797 (0.1972)                   0.1828 (0.2003)                   0.1826 (0.2381)                   0.1813 (0.2327)                   0.1819 (0.2165)                   0.1781 (0.2072)                   0.1767 (0.2346)                   0.1717 (0.2472)                   0.1823 (0.1987)                   0.1769 (0.2252)
  Number of non-hydrogen atoms                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101                              5101
                macromolecules                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860                              3860
                       ligands                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131                               131
                       solvent                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110                              1110
              Protein residues                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446                               446
