,wedge_1,wedge_2,wedge_3,wedge_4,wedge_5,wedge_6,wedge_7,wedge_8,wedge_9,wedge_10,wedge_11,wedge_12,wedge_13,wedge_14,wedge_15,wedge_16,wedge_17,wedge_18,wedge_19,wedge_20,wedge_21,wedge_22,wedge_23,wedge_24,wedge_25,wedge_26,wedge_27,wedge_28,wedge_29,wedge_30,wedge_31,wedge_32,wedge_33,wedge_34,wedge_35,wedge_36
R-merge,0.1028 (0.2554),0.1026 (0.2633),0.1012 (0.2657),0.1043 (0.265),0.1034 (0.2712),0.1087 (0.2826),0.1122 (0.2982),0.1118 (0.2939),0.1128 (0.3079),0.1131 (0.3115),0.1098 (0.3178),0.1091 (0.3174),0.1062 (0.3226),0.1043 (0.3247),0.1024 (0.3163),0.1025 (0.3177),0.1041 (0.331),0.1064 (0.3396),0.1094 (0.3514),0.1128 (0.3656),0.113 (0.3518),0.109 (0.3364),0.1078 (0.3174),0.1073 (0.3104),0.1091 (0.2965),0.1092 (0.3024),0.1099 (0.3006),0.1125 (0.3134),0.1143 (0.3134),0.1148 (0.3172),0.1201 (0.3269),0.1198 (0.3291),0.1217 (0.333),0.1253 (0.3484),0.124 (0.3401),0.1223 (0.3329)
R-meas,0.1274 (0.2963),0.1276 (0.3053),0.1258 (0.3083),0.1297 (0.3077),0.1285 (0.3146),0.1356 (0.3278),0.1398 (0.3461),0.139 (0.3408),0.14 (0.3566),0.1398 (0.3607),0.1355 (0.3681),0.1343 (0.3679),0.1304 (0.3738),0.1279 (0.3761),0.1252 (0.3666),0.1252 (0.3678),0.1279 (0.3836),0.131 (0.3934),0.135 (0.4069),0.1394 (0.4234),0.1397 (0.4071),0.1345 (0.3897),0.1326 (0.3678),0.1324 (0.3596),0.1345 (0.3435),0.1353 (0.3503),0.1358 (0.3484),0.1397 (0.3632),0.142 (0.3633),0.1426 (0.3681),0.1494 (0.3791),0.1494 (0.3811),0.152 (0.3861),0.1563 (0.4039),0.1547 (0.3942),0.1523 (0.3859)
R-pim,0.07388 (0.1494),0.07448 (0.1537),0.07347 (0.1557),0.07575 (0.1555),0.07491 (0.1586),0.07961 (0.1654),0.08184 (0.1748),0.08111 (0.1716),0.0814 (0.1791),0.08077 (0.1807),0.07803 (0.1847),0.07688 (0.1849),0.07438 (0.1876),0.07272 (0.1887),0.07078 (0.1842),0.07071 (0.1842),0.07286 (0.1927),0.07506 (0.1974),0.07764 (0.204),0.08046 (0.2121),0.08075 (0.2036),0.07744 (0.1955),0.07583 (0.1846),0.0762 (0.1805),0.0773 (0.1724),0.07833 (0.1757),0.07844 (0.175),0.08125 (0.1824),0.08269 (0.1826),0.08307 (0.1855),0.08729 (0.1907),0.08769 (0.1912),0.08933 (0.1941),0.09167 (0.2029),0.09086 (0.1981),0.08903 (0.194)
CC1/2,0.96 (0.9),0.962 (0.905),0.969 (0.9),0.945 (0.903),0.962 (0.895),0.957 (0.888),0.96 (0.877),0.954 (0.873),0.952 (0.877),0.961 (0.881),0.965 (0.864),0.961 (0.875),0.966 (0.889),0.97 (0.883),0.976 (0.897),0.973 (0.897),0.972 (0.885),0.969 (0.87),0.964 (0.86),0.961 (0.84),0.965 (0.843),0.967 (0.858),0.969 (0.848),0.97 (0.881),0.965 (0.88),0.964 (0.877),0.969 (0.877),0.961 (0.869),0.961 (0.877),0.962 (0.846),0.955 (0.862),0.957 (0.855),0.948 (0.834),0.944 (0.844),0.954 (0.84),0.957 (0.848)
CC*,0.99 (0.973),0.99 (0.975),0.992 (0.973),0.986 (0.974),0.99 (0.972),0.989 (0.97),0.99 (0.967),0.988 (0.965),0.988 (0.967),0.99 (0.968),0.991 (0.963),0.99 (0.966),0.991 (0.97),0.992 (0.968),0.994 (0.972),0.993 (0.972),0.993 (0.969),0.992 (0.965),0.991 (0.962),0.99 (0.956),0.991 (0.956),0.992 (0.961),0.992 (0.958),0.992 (0.968),0.991 (0.968),0.991 (0.967),0.992 (0.967),0.99 (0.964),0.99 (0.967),0.99 (0.958),0.989 (0.962),0.989 (0.96),0.986 (0.954),0.985 (0.957),0.988 (0.956),0.989 (0.958)
Reflections used in refinement,288004 (10255),288235 (10301),288515 (10339),289014 (10350),289292 (10027),289275 (10399),289290 (10379),289495 (10050),289633 (10005),289659 (10365),290056 (10356),290211 (10385),290493 (9965),290639 (10344),290708 (9966),290698 (10345),290110 (10364),289480 (10328),288713 (10263),288014 (10282),287476 (10221),287048 (10220),286535 (10189),286063 (10161),285604 (10148),285257 (10123),284922 (10134),284426 (10127),284539 (10130),284684 (10138),284819 (10168),284894 (10172),285437 (10141),285896 (10194),286265 (10247),286898 (10274)
Reflections used for R-free,3835 (139),3766 (136),3810 (128),3812 (131),3859 (147),3836 (142),3790 (117),3867 (143),3852 (129),3849 (155),3829 (143),3823 (124),3860 (126),3832 (150),3870 (142),3836 (130),3842 (122),3846 (146),3831 (141),3804 (146),3775 (134),3796 (131),3811 (128),3777 (125),3765 (151),3779 (143),3779 (130),3770 (128),3727 (131),3798 (141),3756 (134),3724 (126),3819 (141),3764 (143),3766 (139),3795 (136)
R-work,0.1504 (0.2077),0.1610 (0.2237),0.1506 (0.2150),0.1500 (0.2114),0.1603 (0.2331),0.1575 (0.2196),0.1566 (0.2361),0.1688 (0.2465),0.1639 (0.2607),0.1562 (0.2564),0.1620 (0.2789),0.1643 (0.2901),0.1641 (0.2902),0.1534 (0.2913),0.1601 (0.3042),0.1550 (0.3014),0.1532 (0.3180),0.1570 (0.3118),0.1606 (0.3171),0.1656 (0.2989),0.1685 (0.2915),0.1691 (0.2866),0.1640 (0.2708),0.1546 (0.2608),0.1644 (0.2659),0.1661 (0.2667),0.1567 (0.2498),0.1633 (0.2503),0.1716 (0.2647),0.1634 (0.2484),0.1772 (0.2669),0.1662 (0.2501),0.1736 (0.2680),0.1841 (0.2762),0.1765 (0.2873),0.1685 (0.2869)
R-free,0.1671 (0.2387),0.1712 (0.2384),0.1682 (0.2571),0.1660 (0.2078),0.1712 (0.2489),0.1689 (0.2689),0.1780 (0.2454),0.1809 (0.2589),0.1799 (0.3130),0.1753 (0.2650),0.1783 (0.2457),0.1746 (0.2899),0.1749 (0.3119),0.1728 (0.3531),0.1793 (0.2603),0.1741 (0.2837),0.1724 (0.2918),0.1756 (0.3687),0.1807 (0.3163),0.1848 (0.2933),0.1845 (0.3345),0.1809 (0.3244),0.1771 (0.2925),0.1691 (0.2481),0.1796 (0.2809),0.1790 (0.2480),0.1757 (0.2736),0.1822 (0.2890),0.1819 (0.2327),0.1783 (0.2350),0.1896 (0.3034),0.1871 (0.2783),0.1914 (0.2863),0.1973 (0.3031),0.1956 (0.3518),0.1867 (0.3106)
CC(work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
