Dataset,Dose,Molecule,CO2,Ax,Eq,Oxy,Glu
Pseudohelix 1,1.22,A,0.22,0.52,0.73,0.52,NA
Pseudohelix 2,1.74,A,0.42,0.41,0.59,0.44,NA
Pseudohelix 3,2.07,A,0.28,0.41,0.59,0.4,NA
Pseudohelix 4,2.37,A,0.4,0.38,0.55,0.41,NA
Pseudohelix 5,2.74,A,0.32,0.43,0.55,0.43,NA
Pseudohelix 6,2.98,A,0.36,0.41,0.52,0.46,NA
Pseudohelix 7,3.39,A,0.33,0.41,0.57,0.4,NA
Pseudohelix 8,3.56,A,0.37,0.41,0.6,0.44,NA
Pseudohelix 9,3.81,A,0.47,0.42,0.56,0.43,NA
Pseudohelix 10,3.94,A,0.42,0.42,0.57,0.4,NA
Pseudohelix 11,4.18,A,0.29,0.41,0.55,0.41,NA
Pseudohelix 12,4.44,A,0.28,0.41,0.58,0.41,NA
Pseudohelix 13,4.9,A,0.38,0.46,0.6,0.4,NA
Pseudohelix 14,5.12,A,0.47,0.41,0.61,0.41,NA
Pseudohelix 15,5.27,A,0.37,0.46,0.6,0.4,NA
Pseudohelix 16,5.33,A,0.43,0.45,0.64,0.38,NA
Pseudohelix 17,5.56,A,0.4,0.4,0.61,0.45,NA
Pseudohelix 18,5.7,A,0.31,0.42,0.61,0.37,NA
Pseudohelix 19,5.91,A,0.47,0.43,0.57,0.36,NA
Pseudohelix 20,5.82,A,0.32,0.42,0.6,0.36,NA
Pseudohelix 21,5.81,A,0.45,0.43,0.57,0.46,NA
Pseudohelix 22,5.6,A,0.36,0.43,0.54,0.43,NA
Pseudohelix 23,5.51,A,0.37,0.39,0.6,0.41,NA
Pseudohelix 24,5.35,A,0.45,0.43,0.62,0.43,NA
Pseudohelix 25,5.33,A,0.44,0.38,0.57,0.44,NA
Pseudohelix 26,5.51,A,0.49,0.39,0.55,0.43,NA
Pseudohelix 27,5.55,A,0.41,0.39,0.57,0.35,NA
Pseudohelix 28,6.26,A,0.44,0.39,0.57,0.32,NA
Pseudohelix 29,6.41,A,0.33,0.36,0.57,0.39,NA
Pseudohelix 30,6.53,A,0.45,0.41,0.49,0.42,NA
Pseudohelix 31,6.66,A,0.46,0.41,0.53,0.38,NA
Pseudohelix 32,6.99,A,0.33,0.42,0.55,0.41,NA
Pseudohelix 33,7.54,A,0.37,0.41,0.56,0.39,NA
Pseudohelix 34,7.82,A,0.63,0.36,0.55,0.41,NA
Pseudohelix 35,8.13,A,0.37,0.37,0.49,0.42,NA
Pseudohelix 36,8.65,A,0.38,0.31,0.5,0.39,NA
Pseudohelix 1,1.22,B,NA,0.55,0.72,0.45,0.59
Pseudohelix 2,1.74,B,NA,0.4,0.55,0.5,0.52
Pseudohelix 3,2.07,B,NA,0.37,0.53,0.45,0.45
Pseudohelix 4,2.37,B,NA,0.36,0.53,0.67,0.45
Pseudohelix 5,2.74,B,NA,0.37,0.55,0.54,0.47
Pseudohelix 6,2.98,B,NA,0.38,0.52,0.6,0.45
Pseudohelix 7,3.39,B,NA,0.38,0.49,0.65,0.45
Pseudohelix 8,3.56,B,NA,0.37,0.54,0.65,0.43
Pseudohelix 9,3.81,B,NA,0.38,0.47,0.54,0.46
Pseudohelix 10,3.94,B,NA,0.38,0.47,0.73,0.43
Pseudohelix 11,4.18,B,NA,0.41,0.51,0.61,0.44
Pseudohelix 12,4.44,B,NA,0.38,0.53,0.48,0.48
Pseudohelix 13,4.9,B,NA,0.37,0.49,0.59,0.45
Pseudohelix 14,5.12,B,NA,0.41,0.44,0.62,0.41
Pseudohelix 15,5.27,B,NA,0.36,0.46,0.68,0.42
Pseudohelix 16,5.33,B,NA,0.4,0.5,0.66,0.38
Pseudohelix 17,5.56,B,NA,0.4,0.5,0.66,0.4
Pseudohelix 18,5.7,B,NA,0.4,0.46,0.71,0.45
Pseudohelix 19,5.91,B,NA,0.42,0.52,0.68,0.42
Pseudohelix 20,5.82,B,NA,0.41,0.5,0.61,0.46
Pseudohelix 21,5.81,B,NA,0.44,0.55,0.6,0.43
Pseudohelix 22,5.6,B,NA,0.4,0.5,0.59,0.44
Pseudohelix 23,5.51,B,NA,0.37,0.52,0.42,0.38
Pseudohelix 24,5.35,B,NA,0.36,0.47,0.71,0.44
Pseudohelix 25,5.33,B,NA,0.39,0.5,0.61,0.41
Pseudohelix 26,5.51,B,NA,0.37,0.53,0.53,0.47
Pseudohelix 27,5.55,B,NA,0.34,0.5,0.51,0.48
Pseudohelix 28,6.26,B,NA,0.35,0.51,0.6,0.41
Pseudohelix 29,6.41,B,NA,0.4,0.59,0.63,0.42
Pseudohelix 30,6.53,B,NA,0.39,0.55,0.37,0.44
Pseudohelix 31,6.66,B,NA,0.43,0.54,0.55,0.45
Pseudohelix 32,6.99,B,NA,0.34,0.55,0.72,0.47
Pseudohelix 33,7.54,B,NA,0.36,0.54,0.33,0.47
Pseudohelix 34,7.82,B,NA,0.46,0.52,0.55,0.44
Pseudohelix 35,8.13,B,NA,0.4,0.49,0.57,0.37
Pseudohelix 36,8.65,B,NA,0.33,0.41,0.57,0.36
