RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,59.99999999999999,0.17601085779429157,119999.99964,0.9519486782405953,0.984957617557197,0.9924212491203325,0.9953458529136162,0.984957617557197
2.0,60.894999999899994,0.5190322527091654,119999.99964,0.8648368835451674,0.9562891407528229,0.9778159361817054,0.9863376995411259,0.9562891407528229
3.0,61.789999999799996,0.8323668670257927,119999.99964,0.7922495626434003,0.9308316283424617,0.9646625655009724,0.9781804233379793,0.9308316283424617
4.0,62.68499999969999,1.1512199128676768,115999.999652,0.7246349683805873,0.905621367099944,0.9514591620642259,0.9699487338214401,0.905621367099944
5.0,63.57999999959999,1.4912152149987306,103999.999688,0.6588820036961631,0.8794912262116031,0.9375793046663383,0.9612475240612743,0.8794912262116031
6.0,64.4749999995,1.6876293040954973,115999.999652,0.623651620920082,0.8647409275270818,0.9296534230439929,0.956256482501692,0.8647409275270818
7.0,65.3699999994,1.9508932272037198,111999.999664,0.579367027472145,0.8453576092502603,0.9191349435545466,0.9496073543103114,0.8453576092502603
8.0,66.2649999993,2.149847289968231,115999.999652,0.5479987423321595,0.8309980012558409,0.9112649347890633,0.9446131582147352,0.8309980012558409
9.0,67.1599999992,2.3043076470040584,115999.999652,0.524821505916951,0.8200181565528479,0.9052014556204293,0.9407539731175384,0.8200181565528479
10.0,68.05499999909999,2.5815456889520454,107999.999676,0.48565224038674026,0.8006732441883594,0.8944192475378148,0.9338666966002875,0.8006732441883594
11.0,68.949999999,2.6906336023083837,107999.999676,0.47105379289938276,0.7931871041004255,0.8902119481976216,0.9311705277546543,0.7931871041004255
12.0,69.8449999989,2.8153730042516076,111999.999664,0.4548978202855032,0.7847126228125072,0.8854252511430937,0.9280970617737501,0.7847126228125072
13.0,70.73999999879999,2.9776063802475328,107999.999676,0.434711815740936,0.7738262046794988,0.8792382608590366,0.924114949665556,0.7738262046794988
14.0,71.6349999987,3.0345749502344614,119999.99964,0.4278380367503836,0.7700393541080092,0.8770759585206351,0.9227206801573183,0.7700393541080092
15.0,72.5299999986,3.212792593660553,107999.999676,0.4070284715470983,0.7583120111874511,0.8703457985070859,0.9183724862323283,0.7583120111874511
16.0,73.4249999985,3.256841289702092,107999.999676,0.40204307483345186,0.7554410863463202,0.8686903311095504,0.9173009381150528,0.7554410863463202
17.0,74.3199999984,3.385477659486105,107999.999676,0.3878309192838014,0.7471191294389512,0.8638738364090479,0.9141788243171869,0.7471191294389512
18.0,75.2149999983,3.3959451704921517,107999.999676,0.38669678283940073,0.74644599501141,0.8634830813546357,0.9139252369664498,0.74644599501141
19.0,76.1099999982,3.728608506770985,103999.999688,0.3523301416324478,0.7253664154672216,0.8511563095813768,0.9059026268776441,0.7253664154672216
20.0,77.00499999809999,3.77791611971501,107999.999676,0.34750303544056294,0.7222930515876138,0.8493442615805553,0.9047195172360214,0.7222930515876138
21.0,77.899999998,3.9099733915045336,103999.999688,0.33489817776228314,0.7141258552521847,0.8445101538549249,0.9015584792216491,0.7141258552521847
22.0,78.7949999979,3.862263302858693,111999.999664,0.33939846263494344,0.7170658168348493,0.8462534535848139,0.9026992331833454,0.7170658168348493
23.0,79.6899999978,3.998492675140665,103999.999688,0.32670600372541747,0.7087030661514327,0.8412852162272418,0.8994457896756466,0.7087030661514327
24.0,80.5849999977,4.14426473028545,103999.999688,0.3136496894750766,0.6998625039336449,0.836001260291342,0.8959774324288048,0.6998625039336449
25.0,81.4799999976,4.313262502341485,103999.999688,0.2991648275153296,0.6897513275800167,0.8299169434209164,0.8919732023225402,0.6897513275800167
26.0,82.3749999975,4.159782197534406,103999.999688,0.3122909426747195,0.6989279428924742,0.835440740135453,0.8956090135731982,0.6989279428924742
27.0,83.26999999739999,4.238739297945091,103999.999688,0.3054679054603572,0.6941919368264661,0.8325944767431223,0.8937367432646997,0.6941919368264661
28.0,84.1649999973,4.239393812681341,103999.999688,0.3054119734430458,0.6941528121289193,0.8325709232183017,0.8937212394517354,0.6941528121289193
29.0,85.0599999972,4.276761125502795,103999.999688,0.3022356483206073,0.6919227721503505,0.83122731845053,0.8928365473498546,0.6919227721503505
