RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,35.0,0.17233699537991992,119999.99964,0.9529276606131838,0.985269272033256,0.9925788514097921,0.9954427769047071,0.985269272033256
2.0,35.894999999899994,0.49628932960039157,123999.999628,0.870357380263368,0.9581638118542358,0.9787776059551123,0.986932424356475,0.9581638118542358
3.0,36.789999999799996,0.7916322213279772,125999.999622,0.8013302410344625,0.9341024828983483,0.966362494736321,0.979237072021964,0.9341024828983483
4.0,37.684999999700004,1.0695257111840697,125999.999622,0.7413881923112245,0.9120147487151247,0.9548247230176446,0.9720511733731859,0.9120147487151247
5.0,38.5799999996,1.3644149419543001,119999.99964,0.6826761083949084,0.889147045622408,0.942731922624351,0.9644834505387314,0.889147045622408
6.0,39.4749999995,1.5421771240804147,129999.99961,0.6495542699304312,0.8756400902674565,0.9355163742605516,0.9599500433791571,0.8756400902674565
7.0,40.369999999399994,1.7512637564998264,129999.99961,0.6126466390121781,0.8600153683538807,0.9270999847393947,0.9546450438910096,0.8600153683538807
8.0,41.2649999993,1.9031024045548592,135999.999592,0.5871656912192165,0.848843735876714,0.9210355032078819,0.9508109396810615,0.848843735876714
9.0,42.1599999992,2.0549058343117146,137999.999586,0.5627500815005548,0.8378197642026397,0.9150120843955362,0.946993118187618,0.8378197642026397
10.0,43.0549999991,2.156164724269503,133999.999598,0.5470310177383966,0.8305460549645081,0.9110161434835462,0.9444550073349591,0.8305460549645081
11.0,43.949999999,2.1281432065816097,143999.999568,0.551336505382549,0.8325525758808265,0.9121201963006476,0.9451567008366032,0.8325525758808265
12.0,44.84499999889999,2.38662240258696,147999.999556,0.5128730095776035,0.8142261758744835,0.9019866132208635,0.9387037867568305,0.8142261758744835
13.0,45.7399999988,2.6892945333866196,147999.999556,0.4712303031866269,0.793278571820262,0.8902634731993857,0.9312035763575376,0.793278571820262
14.0,46.634999998699996,2.796013910022559,137999.999586,0.45736835396636744,0.78602187092522,0.8861664380597447,0.9285733864696898,0.78602187092522
15.0,47.5299999986,2.7537345223582776,137999.999586,0.4628106376191624,0.7888888094434978,0.8877873147000332,0.9296145082199894,0.7888888094434978
16.0,48.424999998500006,2.8885246047868547,139999.99958,0.4456823755053731,0.7797850668510604,0.8826301441242372,0.9262993935782216,0.7797850668510604
