RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,45.0,0.21982872391206043,147999.99995559995,0.9403496760215411,0.9812481300532496,0.9905434670720639,0.9941905753996665,0.9812481300532496
2.0,45.8949999999,0.6593655271592914,147999.99995559995,0.8315393332135038,0.9448025097337508,0.9719029016250217,0.9826759205540609,0.9448025097337508
3.0,46.789999999799996,1.0368282524050352,137999.99995859998,0.7482015766502694,0.914586279063103,0.9561750958018181,0.9728939346496278,0.914586279063103
4.0,47.684999999700004,1.376796173717562,141999.99995739997,0.6803154029324715,0.8881995653313306,0.9422275575985521,0.9641670038009751,0.8881995653313306
5.0,48.5799999996,1.7561626179557093,135999.99995919998,0.6118075213633309,0.8596526462624905,0.9269037007614944,0.9545211008547648,0.8596526462624905
6.0,49.4749999995,2.0612385144471754,131999.99996039996,0.5617539110034895,0.837363008496061,0.9147616672592096,0.9468341862512435,0.837363008496061
7.0,50.3699999994,2.293497616973445,139999.99995799997,0.5264111894082386,0.8207818459471864,0.9056244968585968,0.9410235473785569,0.8207818459471864
8.0,51.2649999993,2.578698170695903,127999.99996159997,0.48603930204399687,0.8008695979917697,0.8945293364238531,0.9339371790579004,0.8008695979917697
9.0,52.159999999200004,2.7226110825927416,131999.99996039996,0.4668582449587948,0.7910059501876128,0.8889823968725036,0.9303816627687365,0.7910059501876128
10.0,53.0549999991,2.913485750693898,131999.99996039996,0.4425807481277685,0.7781107524762579,0.8816784045739486,0.9256867815873437,0.7781107524762579
11.0,53.949999999,3.099922730800087,131999.99996039996,0.4200869709492646,0.7657183305361082,0.8746021620779195,0.9211239251007592,0.7657183305361082
12.0,54.84499999889999,3.3539896283284856,127999.99996159997,0.3912626845279755,0.7491476925738842,0.8650503596039089,0.914942081929816,0.7491476925738842
13.0,55.7399999988,3.4778770707248747,127999.99996159997,0.3779334219728704,0.7411981075497202,0.8604306408896452,0.9119427721613705,0.7411981075497202
14.0,56.6349999987,3.4854665480611677,127999.99996159997,0.37713177825237665,0.7407138588087627,0.860148435305162,0.9117593511767715,0.7407138588087627
15.0,57.529999998600005,3.7166987920503307,127999.99996159997,0.3535060951149818,0.7261107115947663,0.8515945693087056,0.9061886259791883,0.7261107115947663
16.0,58.424999998500006,3.896080197158423,119999.99996399997,0.33620246863812875,0.7149807269141386,0.8450174323911845,0.9018905183158689,0.7149807269141386
17.0,59.3199999984,3.9461866932449174,119999.99996399997,0.3315222128822283,0.7119023910500604,0.8431893380525213,0.9006935772852319,0.7119023910500604
18.0,60.2149999983,4.02612270924506,119999.99996399997,0.32419020302423096,0.7070188670981351,0.8402811219859605,0.8987873580991248,0.7070188670981351
19.0,61.1099999982,4.27543161483971,115999.99996519997,0.302348091603712,0.6920019928270285,0.8312750860271354,0.8928680092306555,0.6920019928270285
20.0,62.0049999981,4.277937625038468,119999.99996399997,0.3021361808202778,0.6918526764106665,0.8311850506525031,0.8928087072881352,0.6918526764106665
21.0,62.899999998,4.2793462746277715,107999.99996759997,0.30201712918600426,0.6917687585321377,0.8311344452861598,0.8927753748924745,0.6917687585321377
22.0,63.79499999789999,4.688811876255718,103999.99996879998,0.2693263462812411,0.6678020439949081,0.8165543494742074,0.8831388952642775,0.6678020439949081
23.0,64.68999999779999,4.4622907151325855,119999.99996399997,0.2869476251989743,0.680956211479381,0.8245883295718709,0.8884569816197041,0.680956211479381
24.0,65.58499999770001,4.674356113284909,115999.99996519997,0.27041782084517524,0.6686338524623724,0.8170647027375394,0.8834773234113504,0.6686338524623724
25.0,66.4799999976,4.5850102739033005,115999.99996519997,0.2772626754923254,0.6737980004800262,0.8202260974095854,0.8855719050806771,0.6737980004800262
26.0,67.3749999975,4.826463288242812,111999.99996639998,0.2591512434258342,0.6599330131013827,0.811710578950105,0.8799227848911124,0.6599330131013827
27.0,68.2699999974,5.005808260236037,103999.99996879998,0.24646866661374978,0.6498194534341599,0.8054427471836664,0.8757501033543696,0.6498194534341599
28.0,69.1649999973,5.03692699640462,107999.99996759997,0.24433213312765098,0.6480804632221071,0.8043601330635308,0.8750281048332416,0.6480804632221071
29.0,70.0599999972,4.80995876415942,115999.99996519997,0.260350672640215,0.66087160273429,0.8122898318598044,0.8803077805269202,0.66087160273429
