,pseudohelix_1,pseudohelix_2,pseudohelix_3,pseudohelix_4,pseudohelix_5,pseudohelix_6,pseudohelix_7,pseudohelix_8,pseudohelix_9,pseudohelix_10,pseudohelix_11,pseudohelix_12,pseudohelix_13,pseudohelix_14,pseudohelix_15,pseudohelix_16,pseudohelix_17,pseudohelix_18,pseudohelix_19,pseudohelix_20,pseudohelix_21,pseudohelix_22,pseudohelix_23,pseudohelix_24,pseudohelix_25,pseudohelix_26,pseudohelix_27,pseudohelix_28,pseudohelix_29,pseudohelix_30,pseudohelix_31,pseudohelix_32,pseudohelix_33,pseudohelix_34,pseudohelix_35,pseudohelix_36
R-merge,0.1238 (0.3662),0.1219 (0.3505),0.1202 (0.3567),0.12 (0.3529),0.1212 (0.3469),0.1205 (0.3465),0.1191 (0.3414),0.1208 (0.3405),0.1206 (0.3491),0.1192 (0.3446),0.12 (0.3469),0.1206 (0.3499),0.1179 (0.346),0.1179 (0.3483),0.1177 (0.3365),0.1178 (0.3376),0.1137 (0.3296),0.115 (0.3358),0.114 (0.3285),0.1132 (0.3191),0.1116 (0.3139),0.1134 (0.3267),0.1135 (0.3356),0.1131 (0.3269),0.114 (0.3301),0.1168 (0.3346),0.1191 (0.337),0.1177 (0.3472),0.1188 (0.3499),0.1179 (0.3521),0.1178 (0.3509),0.1162 (0.3467),0.1173 (0.3542),0.1174 (0.3574),0.1192 (0.366),0.1198 (0.3638)
R-meas,0.1539 (0.4247),0.1517 (0.4072),0.1496 (0.4142),0.1494 (0.4098),0.1506 (0.4028),0.1498 (0.4024),0.1482 (0.3963),0.15 (0.3954),0.1499 (0.4051),0.148 (0.4002),0.149 (0.4028),0.1496 (0.4056),0.1462 (0.4016),0.1462 (0.4043),0.146 (0.3903),0.1461 (0.3923),0.1409 (0.3825),0.1425 (0.3895),0.1411 (0.3815),0.1401 (0.371),0.1382 (0.3646),0.1407 (0.3795),0.141 (0.3894),0.1405 (0.3797),0.1417 (0.3834),0.1453 (0.3889),0.1483 (0.3912),0.1462 (0.4029),0.1475 (0.4061),0.1463 (0.4085),0.1464 (0.4073),0.1444 (0.4024),0.1457 (0.4113),0.1459 (0.4152),0.1483 (0.4256),0.1488 (0.4227)
R-pim,0.08978 (0.214),0.08861 (0.206),0.08729 (0.2093),0.08737 (0.207),0.0877 (0.2035),0.08737 (0.2035),0.08653 (0.2002),0.08737 (0.1998),0.08736 (0.2043),0.08612 (0.2022),0.08668 (0.2034),0.08686 (0.2041),0.08482 (0.2026),0.08493 (0.2042),0.0848 (0.1967),0.0848 (0.1986),0.08156 (0.193),0.08268 (0.1963),0.08168 (0.1927),0.08111 (0.1881),0.08003 (0.1844),0.0818 (0.1919),0.08224 (0.1965),0.08184 (0.1922),0.08263 (0.194),0.08498 (0.1971),0.08672 (0.1978),0.08514 (0.2035),0.08583 (0.205),0.08518 (0.206),0.08533 (0.2057),0.08413 (0.2032),0.08484 (0.2078),0.08506 (0.2101),0.08652 (0.2157),0.08657 (0.2137)
CC1/2,0.954 (0.814),0.952 (0.811),0.952 (0.804),0.951 (0.815),0.951 (0.821),0.951 (0.828),0.953 (0.85),0.956 (0.856),0.957 (0.837),0.957 (0.845),0.956 (0.845),0.96 (0.849),0.951 (0.822),0.962 (0.836),0.958 (0.851),0.957 (0.826),0.966 (0.877),0.963 (0.857),0.965 (0.861),0.961 (0.829),0.965 (0.864),0.965 (0.848),0.956 (0.847),0.964 (0.856),0.955 (0.844),0.953 (0.835),0.953 (0.851),0.962 (0.847),0.958 (0.843),0.957 (0.851),0.961 (0.85),0.954 (0.839),0.958 (0.84),0.961 (0.848),0.946 (0.646),0.953 (0.767)
CC*,0.988 (0.947),0.988 (0.947),0.988 (0.944),0.987 (0.948),0.987 (0.95),0.987 (0.952),0.988 (0.959),0.989 (0.96),0.989 (0.955),0.989 (0.957),0.989 (0.957),0.99 (0.958),0.987 (0.95),0.99 (0.954),0.989 (0.959),0.989 (0.951),0.991 (0.967),0.991 (0.961),0.991 (0.962),0.99 (0.952),0.991 (0.963),0.991 (0.958),0.989 (0.958),0.991 (0.96),0.988 (0.957),0.988 (0.954),0.988 (0.959),0.99 (0.958),0.989 (0.956),0.989 (0.959),0.99 (0.958),0.988 (0.955),0.989 (0.956),0.99 (0.958),0.986 (0.886),0.988 (0.932)
Reflections used in refinement,287526 (10263),287740 (10285),287785 (10239),287847 (10283),288167 (10285),288174 (10249),288389 (9908),288420 (10257),288516 (9911),288741 (10289),288818 (10270),288905 (10297),289242 (10284),288981 (10228),289492 (10309),289601 (10327),289779 (10308),289947 (10312),290096 (10017),289006 (10329),288960 (9915),287673 (10256),286997 (10171),285679 (10118),285102 (10092),285255 (10139),285381 (10152),286580 (10197),286637 (10184),286698 (10191),286860 (10207),287011 (10222),287104 (10218),287029 (10186),287195 (10173),287461 (10193)
Reflections used for R-free,3799 (135),3788 (138),3818 (145),3820 (131),3813 (150),3822 (155),3851 (126),3789 (134),3865 (138),3796 (130),3847 (146),3822 (145),3778 (132),3807 (150),3821 (138),3821 (143),3848 (142),3834 (123),3852 (122),3814 (138),3853 (142),3803 (146),3808 (125),3795 (127),3796 (140),3773 (143),3757 (124),3788 (156),3773 (136),3781 (136),3813 (132),3803 (138),3785 (136),3790 (147),3807 (141),3806 (128)
R-work,0.1843 (0.2894),0.1790 (0.2724),0.1790 (0.2839),0.1800 (0.2837),0.1826 (0.2857),0.1812 (0.2938),0.1789 (0.2829),0.1783 (0.2795),0.1752 (0.2813),0.1796 (0.2812),0.1782 (0.2759),0.1760 (0.2959),0.1760 (0.2836),0.1743 (0.2870),0.1745 (0.2833),0.1768 (0.2801),0.1704 (0.2835),0.1725 (0.2900),0.1721 (0.2873),0.1689 (0.2622),0.1671 (0.2612),0.1718 (0.2823),0.1739 (0.2719),0.1749 (0.2708),0.1738 (0.2691),0.1757 (0.2575),0.1757 (0.2653),0.1729 (0.2847),0.1801 (0.2860),0.1775 (0.2920),0.1793 (0.2922),0.1801 (0.2963),0.1800 (0.2890),0.1778 (0.2867),0.1777 (0.2936),0.1794 (0.2947)
R-free,0.1975 (0.3299),0.2041 (0.2966),0.2045 (0.3165),0.1995 (0.3209),0.2085 (0.2983),0.2014 (0.3382),0.2061 (0.3205),0.2018 (0.3090),0.2033 (0.3222),0.2047 (0.2979),0.2042 (0.2948),0.2081 (0.3622),0.2082 (0.2994),0.1999 (0.3148),0.1962 (0.3078),0.1997 (0.2945),0.1910 (0.3361),0.2015 (0.2782),0.1933 (0.2922),0.1918 (0.3326),0.1967 (0.2823),0.1875 (0.3389),0.1981 (0.2949),0.2133 (0.2991),0.2004 (0.2857),0.1949 (0.2492),0.1982 (0.2791),0.1914 (0.3176),0.2101 (0.3188),0.2020 (0.2968),0.2096 (0.3314),0.2084 (0.2517),0.2055 (0.3161),0.2117 (0.3021),0.2017 (0.3116),0.2054 (0.3300)
CC(work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
